,Unnamed: 0,mood,arousal,valence,activity,screen,calls,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather
0,2014-03-27,7.0,-0.5,1.0,0.14829053656064528,6065.7110004425085,2.0,0.0,735.7159999999999,930.6489999999999,207.387,0.0,0.0,0.0,71.905,4393.594000000001,0.0,0.0,5.052,0.0
1,2014-03-28,6.75,0.0,0.75,0.11218869731800768,10478.017000198368,9.0,0.0,4855.087000000004,2540.570999999999,3861.542,0.0,0.0,0.0,77.908,3569.3729999999987,0.0,0.0,14.169,0.0
2,2014-03-29,6.75,1.0,1.0,0.12607506942792832,9956.59399938583,5.0,0.0,6546.764000000003,1318.068,1001.0590000000003,0.0,0.0,0.0,51.707,1167.004,101.118,60.29900000000001,8.120000000000001,0.0
3,2014-03-30,5.8,-0.2,0.25,0.0500026692883376,3085.1560006141663,1.0,0.0,805.4829999999997,790.7080000000002,473.693,0.0,0.0,0.0,53.669,914.5189999999999,0.0,0.0,15.116999999999996,0.0
4,2014-03-31,6.4,0.4,0.4,0.07254649006645172,3845.6270000934614,1.0,0.0,954.035,633.7069999999999,411.651,11.04,11.03,17.189,47.557,939.671,772.3989999999999,0.0,0.0,0.0
5,2014-04-01,6.4,0.4,0.75,0.14079215484201238,8892.608999252321,2.0,0.0,1334.3879999999995,2928.829000000001,751.2919999999997,55.378,3.766,0.0,44.646,3253.4370000000013,68.07900000000001,0.0,0.0,0.0
6,2014-04-02,6.0,-0.4,0.3333333333333333,0.14706022748475056,13215.448000431052,3.0,0.0,841.6619999999997,2319.867,759.0949999999997,128.498,0.0,397.502,77.77900000000002,2587.3720000000008,25.71,0.0,0.0,0.0
7,2014-04-03,5.4,0.4,0.0,0.1573412698412698,10063.442001819609,3.0,0.0,2386.118000000003,2760.7749999999987,1194.8059999999996,133.62,0.0,848.0269999999998,40.63,4213.196999999999,373.78600000000006,0.0,0.0,0.0
8,2014-04-04,6.5,0.75,0.6666666666666666,0.13877989048726838,7406.303998708726,8.0,3.0,1238.8330000000008,1244.954,359.466,0.0,0.0,525.1369999999998,45.5,2331.898,1689.1170000000006,0.0,0.0,0.0
9,2014-04-05,6.2,0.0,0.4,0.15029831343020306,4866.718000888825,3.0,1.0,1613.1799999999994,212.44,1451.876,39.611,4.0089999999999995,0.0,66.791,2087.258,214.084,0.0,0.0,0.0
10,2014-04-06,6.25,0.25,0.75,0.08721111947339888,2818.029000282286,0.0,0.0,567.62,165.981,636.3249999999998,0.0,0.0,0.0,39.345,1061.8390000000004,346.34400000000005,0.0,0.0,0.0
11,2014-04-07,6.4,0.2,1.0,0.12565511935667534,5998.457000255585,0.0,0.0,1598.4450000000006,654.4440000000002,777.9910000000001,49.379,108.338,5.0360000000000005,59.736000000000004,2723.0260000000007,248.58500000000004,0.0,42.898,0.0
12,2014-04-08,6.25,0.0,0.25,0.11765497159315708,7995.54100036621,2.0,0.0,3070.9420000000014,1390.59,1452.7679999999998,196.12099999999998,0.0,98.882,44.58300000000001,3365.6449999999995,117.344,0.0,0.0,0.0
13,2014-04-09,5.25,0.0,-0.5,0.16551672904404247,11045.185998439787,0.0,0.0,30519.81799999998,1768.8439999999994,2337.654,38.118,179.813,179.947,41.01,3970.7790000000014,65.869,0.0,17.396,0.0
14,2014-04-10,6.4,0.2,0.6,0.1338207834315732,7782.513999700544,0.0,0.0,2114.53,547.5509999999998,438.221,0.0,5.149,0.0,56.132,4960.509000000001,0.0,0.0,0.0,0.0
15,2014-04-11,6.6,-0.5,1.0,0.07151068346684088,4888.17499804497,2.0,0.0,9721.517000000002,169.195,381.99099999999993,0.0,0.0,0.0,45.553000000000004,2574.388,232.48200000000003,0.0,0.0,0.0
24,2014-04-20,6.4,0.4,1.0,0.2202672654948737,15072.07299971581,0.0,0.0,3891.5939999999987,744.578,1323.4270000000001,0.0,550.414,82.47,51.32100000000001,4599.367000000002,430.585,0.0,7.142,0.0
25,2014-04-21,6.0,-0.25,0.75,0.0702309086923999,4222.318999528884,1.0,0.0,1243.055,1039.4609999999998,110.981,0.0,61.195,0.0,45.51,1880.291,83.25099999999998,0.0,3.0380000000000003,0.0
26,2014-04-22,6.5,0.25,1.0,0.16462706487320147,18346.558000326168,2.0,0.0,2517.7179999999994,3176.774000000001,5768.9090000000015,35.15300000000001,0.0,0.0,58.138999999999996,5208.8229999999985,1367.3239999999996,0.0,4.1560000000000015,0.0
27,2014-04-23,5.8,0.0,0.8,0.11449388733473975,5621.264999151228,6.0,0.0,1266.9849999999985,546.1610000000002,626.889,0.0,0.0,44.187,39.926,3131.532,256.50199999999995,0.0,0.0,0.0
28,2014-04-24,6.6,-0.6,0.6,0.08522280013775357,6934.605998277666,1.0,0.0,3131.049999999999,289.282,745.8890000000001,109.329,0.0,164.138,41.343999999999994,3729.074,659.855,0.0,0.0,0.0
29,2014-04-25,5.6,0.2,0.2,0.13467870198927026,4744.062000751494,3.0,1.0,2088.079999999999,511.94699999999983,97.389,78.27,0.0,0.0,46.24800000000001,1831.126,782.1739999999999,0.0,36.423,44.409
30,2014-04-26,7.0,0.25,1.0,0.3325771057511279,3425.820999383925,6.0,0.0,979.5779999999997,293.235,337.142,0.0,0.0,0.0,42.465,1013.576,761.637,0.0,0.0,22.066
31,2014-04-27,6.0,0.0,0.75,0.19347949106485995,5069.17399930954,1.0,0.0,759.4559999999992,295.29,624.5050000000002,0.0,0.0,15.093,67.653,1675.0120000000004,1366.3989999999994,0.0,0.0,86.67200000000004
32,2014-04-28,6.6,-0.6,1.0,0.0853976874322089,3979.2940003871918,2.0,8.0,1955.539,740.3609999999999,378.061,63.18899999999999,0.0,0.0,44.43899999999999,1723.7329999999995,128.399,0.0,0.0,0.0
33,2014-04-29,6.0,-0.4,1.0,0.07919763729171321,6085.489000082017,4.0,0.0,2113.077,863.179,359.939,0.0,0.0,171.43,48.70399999999999,3697.746000000001,0.0,0.0,0.0,0.0
34,2014-04-30,6.25,-0.25,0.6666666666666666,0.12199319253000575,6141.152999639512,2.0,0.0,1681.2479999999994,1570.289,1044.3830000000003,0.0,0.0,36.22,36.543,2048.414,476.32100000000014,0.0,4.11,0.0
35,2014-05-01,6.2,-0.2,0.5,0.0955700386338233,10759.314000368111,0.0,2.0,1453.7619999999995,2178.99,956.837,434.079,181.611,71.40700000000002,60.44,3774.002,284.95399999999995,0.0,5.048000000000001,0.0
36,2014-05-02,5.5,0.0,0.5,0.1309995432502886,17130.235999345776,1.0,0.0,2623.112999999999,2517.300999999999,2755.8149999999987,249.135,0.0,37.361999999999995,45.01300000000001,5042.721999999999,245.935,0.0,4.063,0.0
37,2014-05-03,5.6,-0.4,0.2,0.08514009749880902,5445.758001565932,1.0,1.0,2817.433999999999,961.563,474.135,52.151,0.0,70.34899999999999,47.69300000000001,2205.7499999999995,1.026,0.0,22.674,0.0
38,2014-05-04,4.8,-0.8,-0.2,0.11459872269952805,7504.151001453397,0.0,0.0,3155.584000000001,356.15700000000015,1252.7220000000002,0.0,0.0,0.0,44.191,4638.61,0.0,0.0,0.0,0.0
39,2014-05-05,6.0,0.0,0.3333333333333333,0.03204185520361987,2281.6200006008153,2.0,0.0,1344.7480000000012,1019.573,135.69299999999998,0.0,0.0,0.0,24.094,517.5790000000002,0.0,0.0,0.0,0.0
