"AS14.07.time" "AS14.07.activity" "AS14.07.appCat.builtin" "AS14.07.appCat.communication" "AS14.07.appCat.entertainment" "AS14.07.appCat.game" "AS14.07.appCat.other" "AS14.07.appCat.social" "AS14.07.appCat.travel" "AS14.07.appCat.unknown" "AS14.07.appCat.utilities" "AS14.07.call" "AS14.07.circumplex.arousal" "AS14.07.circumplex.valence" "AS14.07.mood" "AS14.07.screen" "AS14.07.sms"
2014-03-19 NA 14.3225396825397 33.0561479591837 195.913666666667 NA 15.1453333333333 156.943333333333 29.1914 28.3511111111111 NA NA -1 1.4 6.8 69.8596181898406 1
2014-03-20 NA 19.6528815789474 46.5787567567568 225.8926 NA 12.4904285714286 63.8772941176471 NA NA NA NA -0.75 -0.25 5.25 97.626254547726 1
2014-03-21 NA 14.96535 30.3167384615385 130.520833333333 NA 11.2845 92.9798 54.868 NA 31.218 NA 0.333333333333333 1 7 193.012182797155 NA
2014-03-22 NA 15.0054857142857 38.8996727272727 309.732666666667 NA 71.544 116.871181818182 307.123 114.432 NA NA -0.4 0 6 81.6283037079705 NA
2014-03-23 NA 20.6407878787879 23.6844030769231 105.466 NA 28.33375 51.1023333333333 NA NA NA NA 0 1.5 7.75 35.7987298137263 NA
2014-03-24 NA 19.3659866666667 17.9076549707602 102.671 NA 94.3225 106.759 58.215 NA NA 1 0.5 1 8 32.4538529325934 1
2014-03-25 0.134344901802529 13.4169404761905 33.4165446428571 165.835666666667 NA 107.2475 186.931375 65.467 NA NA 1 -0.5 1.33333333333333 7.66666666666667 62.2708855624222 NA
2014-03-26 0.103293731285618 24.3035714285714 29.6475460526316 424.772333333333 NA 20.7838 83.861875 101.8705 NA NA 1 0.2 0.6 6.6 62.9421369866149 1
2014-03-27 0.089700247915258 19.45115 34.4449785714286 261.867 NA 12.0556 150.112866666667 25.884 NA NA 1 0.2 0.4 6.8 74.6829153776169 1
2014-03-28 0.0980998424889588 19.5244632352941 37.7512677165354 135.163375 NA 57.942 159.852083333333 49.7763846153846 43.5818571428571 14.226 1 0.25 1.5 8.25 150.977220948352 NA
2014-03-29 0.0418758535518426 24.2075277777778 34.5163035714286 297.7835 NA 25.2366666666667 82.2275 102.584 NA NA NA 0.2 1 7 165.230093747377 1
2014-03-30 0.0625734602553756 20.7405 43.05940625 202.360666666667 NA 14.2048 114.625454545455 26.605 NA NA 1 0.2 0 6.2 114.997263158623 1
2014-03-31 0.0513660767337238 16.5014851485149 73.2783235294118 421.601222222222 NA 12.04175 210.422090909091 69.2853333333333 NA NA 1 -1 0 4.33333333333333 158.88489156746 1
2014-04-01 0.0807622580241118 13.0188865979381 38.5705677083333 396.353833333333 NA 11.0764 106.3995 NA NA NA 1 -1 0.8 6.6 90.1822085848616 1
2014-04-02 0.156187453218202 21.1746216216216 38.3581272727273 430.94 NA 26.25075 105.189222222222 237.155 NA NA 1 -1.25 0.25 5.5 113.931324773365 1
2014-04-03 0.0902634767947734 11.8487865168539 41.9659900990099 646.313666666667 NA 9.0732 88.451125 88.4563333333333 NA NA 1 -0.4 0.2 6.2 97.2656626529004 NA
2014-04-04 0.0496303763440861 10.8673974358974 37.5120606060606 139.572333333333 NA 25.7271111111111 164.08075 51.17 150.612 363.429 1 -0.75 0 6.5 81.4925122086594 1
2014-04-05 0.231306581308831 16.2615327868852 24.1711228070175 73.729 NA 39.7666666666667 103.265083333333 49.766 NA NA 1 0 0.666666666666667 6 80.2580298452235 1
2014-04-06 0.0563157634848811 12.4352957746479 36.6058684210526 343.599428571429 NA 27.54125 114.021142857143 NA NA 1.002 1 -0.75 1 6.75 107.83952113944 1
2014-04-07 0.0805241620390383 21.5066153846154 41.1086592592593 568.606 NA 33.3435714285714 285.8315 NA NA NA NA -0.6 0.2 5.4 196.000162784443 1
2014-04-08 0.07680102095483 10.5249146341463 50.0685069444444 72.7857272727273 NA 25.4444285714286 88.9708333333333 NA 37.7240909090909 NA 1 -0.4 0.6 6.8 92.6344380900973 NA
2014-04-09 0.0707902001380262 12.3617313432836 27.9632891566265 296.92325 NA 19.3111666666667 45.5775714285714 NA NA 6.038 1 -1 0.6 6.4 165.438445774906 1
2014-04-10 0.0989583333333333 10.8284520547945 25.7651489361702 933.4035 NA 8.2298 241.438142857143 22.179 NA NA 1 0.4 0 6.2 90.5214677549179 1
2014-04-11 0.0686828898225957 8.89595652173913 26.6090740740741 NA NA 13.3703333333333 45.2425 25.5401 NA NA NA 0.5 -1 3.5 63.8630286012377 1
2014-04-12 0.153133801730058 13.2882268907563 51.5558653846154 455.276166666667 NA 44.28575 131.262166666667 59.802 72.282 NA 1 NA NA 6.4 197.325680004756 1
2014-04-13 0.0163194444444444 11.7525161290323 25.5199469026549 222.049142857143 NA 8.4438 126.875545454545 NA NA NA 1 -0.25 1 6.5 76.7174622832605 NA
2014-04-14 0.0333537581699346 15.3949464285714 30.4918857142857 491.4905 NA 15.2593333333333 78.84425 NA NA NA 1 -0.2 0.4 6.2 74.1996000033159 1
2014-04-15 0.0196233378043152 11.4907 65.3638333333333 176.672142857143 NA 18.11925 209.230142857143 NA NA NA NA -0.75 0.5 6 143.059196718404 NA
2014-04-16 0.105956020361101 16.1316363636364 46.1409841269841 NA NA 40.4782 126.941375 33.254 22.088 NA 1 -1.25 0 4.75 61.6668424671643 1
2014-04-17 0.118090866290019 22.1813928571429 45.006275862069 822.8045 NA 12.5378333333333 120.39875 NA NA NA 1 -1.2 -0.4 3.8 109.991816896788 NA
2014-04-18 0.0472701149425287 37.7752083333333 86.7321951219512 1009.281 NA 17.858875 161.09025 NA NA NA 1 -1 -0.4 5.2 262.661640014649 1
2014-04-19 0.00312547061835487 16.8468461538462 21.68642 138.522 NA 23.686 64.124 NA NA NA NA 0.25 0.75 7 53.9735526473899 NA
2014-04-20 0.0868055555555556 5.53577777777778 61.2300294117647 14.091 NA 10.042 212.53825 NA 28.1156666666667 NA NA -2 -1 3 372.94572227531 NA
2014-04-21 0.0617854683195592 13.801025974026 59.9369456521739 413.206166666667 NA 16.2183333333333 97.466037037037 244.997333333333 38.7365 NA NA -0.4 0.8 6.6 156.248491501404 NA
2014-04-22 0.0909901819923372 21.06932 51.509320754717 1650.744 NA 20.0568333333333 16.9242857142857 NA NA NA NA -0.2 0.4 6 116.505142849319 1
2014-04-23 0.0753735365199269 12.6580347826087 62.282744 98.756 NA 25.2781666666667 139.9264 81.312 412.628 NA 1 -0.666666666666667 0 6 157.101853335698 NA
2014-04-24 0.157986111111111 9.1160612244898 53.1165970149254 NA NA 20.849125 42.9442 NA NA 1.003 1 -0.6 0.4 5.6 51.1876612863233 1
2014-04-25 0.0760416666666666 12.5869545454545 37.5199636363636 692.2 NA 8.716 144.617166666667 NA NA NA 1 0.333333333333333 -0.666666666666667 3.33333333333333 73.5639594632226 NA
2014-04-26 0.0189157390698019 19.9786136363636 85.8126964285714 108.74 NA 31.4565714285714 72.2452307692308 NA 204.887 NA NA -0.4 -0.2 5.4 177.527651204619 NA
2014-04-27 0.0134077528240234 12.0768571428571 51.141 147.255333333333 NA 35.9406 261.892857142857 NA 53.51 NA 1 -0.6 0.4 6 113.748317093384 1
2014-04-28 0.0944896708683474 13.9880450819672 34.6179383886256 108.602272727273 NA 37.0192222222222 60.7454074074074 1.004 23.9146666666667 2.40333333333333 1 0.25 0.75 6.75 68.0416208692072 1
