"AS14.09.time" "AS14.09.activity" "AS14.09.appCat.builtin" "AS14.09.appCat.communication" "AS14.09.appCat.entertainment" "AS14.09.appCat.finance" "AS14.09.appCat.game" "AS14.09.appCat.office" "AS14.09.appCat.other" "AS14.09.appCat.social" "AS14.09.appCat.travel" "AS14.09.appCat.unknown" "AS14.09.appCat.utilities" "AS14.09.appCat.weather" "AS14.09.call" "AS14.09.circumplex.arousal" "AS14.09.circumplex.valence" "AS14.09.mood" "AS14.09.screen" "AS14.09.sms"
2014-03-21 NA 7.32675 39.3897096774194 17.6519024390244 NA NA 2.113 36.1513333333333 NA NA NA 1.01 NA 1 0 1 7 73.3618048516715 1
2014-03-22 0.0628472222222222 21.2942857142857 41.3393076923077 28.6134472049689 NA NA 4.43633333333333 18.378875 61.284 64.439 NA 1.003 3.02 NA 0 0.666666666666667 7 52.8791123668799 NA
2014-03-23 0.0333333333333333 15.7502105263158 39.8471625 201.896882022472 NA NA NA 11.3998333333333 18.333 38.7176 NA 1.018 NA NA 0.75 0.25 6.75 96.7605405369321 1
2014-03-24 0.0791666666666667 8.60828571428571 36.6488488372093 6.06667613636364 10.8984 NA 2.0455 13.9388333333333 50.1752777777778 20.8790833333333 29.5183636363636 6.889 NA NA 0.5 0.5 7.25 55.4204112213349 NA
2014-03-25 0.0256944444444444 23.4015714285714 24.17235 19.252845410628 21.224 NA 5.128 12.0633333333333 20.4998333333333 32.474 NA 1.00533333333333 17.433 1 0.4 -0.2 6.2 71.4078514977257 NA
2014-03-26 0.0863155761862658 34.7465 25.9513965517241 19.2797272727273 61.349 NA 1.004 11.72825 28.9860909090909 NA NA 18.99975 NA 1 0.5 0.75 7.75 111.065285716738 1
2014-03-27 0.0270833333333333 30.0831428571429 30.4096923076923 20.8547008547009 NA NA NA 16.1036666666667 83.6028333333333 1.01 22.4956 NA 14.396 1 -0.4 0.8 7.8 65.147218734026 NA
2014-03-28 0.0797784391534391 25.49855 36.6939166666667 33.1285764705882 28.0355 NA 2.032 35.1282857142857 36.714875 54.6538333333333 5.73066666666667 17.743 NA 1 -0.25 1 8.25 132.499797492088 NA
2014-03-29 0.0822916666666667 22.7456 35.1335656565657 16.1570459183673 NA NA NA 12.7778 62.949 39.4255 NA 1.621 NA 1 -0.4 1 8 81.7062717287437 NA
2014-03-30 0.11195652173913 106.462538461538 44.2217848101266 14.5759541284404 21.601 NA NA 10.45375 44.7175454545455 NA NA 1.35366666666667 16.89 1 -1 1 7.75 77.4043839190687 1
2014-03-31 0.0833333333333333 36.6691176470588 37.7933483146067 12.5878909090909 32.4273333333333 NA 4.1 8.2515 10.145 21.3475185185185 NA 1.34766666666667 NA 1 -0.2 0.2 7 64.2349528254203 NA
2014-04-01 0.0798611111111111 81.7549642857143 43.4671487603306 17.8667838983051 123.632 NA NA 12.8194 35.6993333333333 68.59 364.752 1.0142 NA 1 0 0.6 7.6 122.038547180734 NA
2014-04-02 0.0413865546218487 76.6122941176471 21.81540625 13.5478076923077 NA NA NA 13.071 33.83 NA NA 9.877 32.864 1 0.2 0 6.2 63.4418421042593 NA
2014-04-03 0.180902777777778 24.5093333333333 26.75492 7.38905314009662 24.3225 NA 2.02 15.1235 69.875 43.1077428571429 40.1235 NA NA 1 0 0.6 7.6 45.3323851814976 NA
2014-04-04 0.0760416666666667 13.8076 41.36712 14.9080531914894 15.924 175.019 NA 10.1668333333333 166.319 25.0001818181818 NA 1.029 NA 1 -0.75 0.75 7.25 83.2848915622895 1
2014-04-05 0.115625 7.57871428571429 33.9559438202247 10.22861352657 NA 80.992 1.012 15.3394 54.6 NA NA 1.007 NA NA 0 0.75 7.5 48.7954732222216 NA
2014-04-06 0.138888888888889 13.4846 34.8020722891566 17.6285665024631 51.71 NA 4.025 7.53557142857143 65.107 NA 4.098 5.5805 24.224 NA -0.4 0.8 6.8 69.520854392098 NA
2014-04-07 0.078125 17.4613 47.9167272727273 10.6938516129032 38.169 NA 3.043 9.10314285714286 60.2318 23.2108 NA NA 15.0586666666667 NA NA NA 6.2 62.252081416374 NA
2014-04-08 0.0864583333333333 16.8667692307692 30.2276666666667 100.086595375723 40.04775 NA 1.032 13.1988 17.1855 32.4951666666667 NA NA NA NA NA 0.6 7.2 39.7620294140835 1
2014-04-09 0.0341269841269841 45.5006 34.3027 16.7328196721311 23.372 NA NA 9.778 14.191 26.014 NA NA NA 1 0.25 0.25 6.5 63.2808970633675 NA
2014-04-10 0.0303571428571429 12.9321111111111 31.8025769230769 12.4534324324324 NA NA NA 9.6935 39.2542 NA 77.658 1.0095 NA 1 0.75 0 6 69.6318387600683 NA
2014-04-11 0.114285714285714 2.008 21.8657428571429 9.33733783783784 23.749 NA NA 9.648 NA 74.8635 25.5511666666667 NA NA NA 0 0.6 6.8 139.051924979687 NA
2014-04-12 0.0694444444444444 NA 38.7143488372093 15.9215138888889 NA NA NA 10.5504 NA NA NA 19.6993333333333 NA 1 0 0.8 7 74.777973689531 NA
2014-04-13 0.172222222222222 6.0935 31.4660625 4.89075 NA NA NA 5.06933333333333 NA 51.380125 NA 1.008 NA NA -0.8 NA 6 45.0683703599153 1
2014-04-14 0.0833333333333332 25.161 15.5571666666667 12.3761538461538 NA NA 2.5145 12.7395 NA 38.86 NA NA NA 1 -0.2 -0.2 5.8 26.5544838751516 1
2014-04-15 0.0885416666666667 40.2216666666667 20.5390344827586 15.7999545454545 148.776 NA NA 5.6385 NA NA NA NA NA 1 0 0 6 46.1512051178859 1
2014-04-16 0.0155844155844156 5.0605 32.854875 18.2387826086957 NA NA NA 29.612 NA NA NA NA NA NA -0.5 -0.25 5.5 53.5256363912062 NA
2014-04-17 0.11045653907496 7.899 34.2712702702703 6.79164583333333 36.512 NA NA 8.06475 NA 6.14628571428571 30.3282 1.70233333333333 NA 1 0 0.75 7 40.9527407487233 1
2014-04-18 0.114738292011019 26.0182 18.44625 16.3592527472527 20.05475 NA 36.176 12.053 19.0585 22.127 NA 1.5055 NA 1 -1.2 0.6 6.6 51.3948260908541 1
2014-04-19 0.113149350649351 2.6314 44.7937647058824 9.42333870967742 NA NA 4.028 10.4015 18.238 158.462 NA NA NA NA 0.25 1 8 59.2649062201381 NA
2014-04-20 0.0415482954545454 2.012 41.3683333333333 8.3588 NA NA NA NA 267.892 20.4426666666667 NA NA NA NA 0 0.25 6.25 22.1621579120034 NA
2014-04-21 0.0153093434343434 33.363 13.3558 22.19528 32.886 NA NA 8.1695 NA NA 108.031 1.1025 NA 1 NA 0.5 6.5 56.5422666549683 NA
2014-04-22 0.0643939393939394 45.2416111111111 43.9958947368421 32.4303409090909 NA NA NA NA 26.468 NA NA NA NA 1 -0.2 0.4 6.6 137.494631553951 NA
2014-04-23 0.0392203282828283 90.0813333333333 45.0070588235294 25.5406808510638 71.327 NA NA 23.765 28.135 NA 30.26 NA NA 1 -0.333333333333333 0.333333333333333 6.33333333333333 117.011759986877 1
2014-04-24 0.0420328282828283 7.79733333333333 25.24825 10.0605952380952 NA NA NA 7.085 NA 4.024 NA NA 5.032 1 0.2 1 7.2 33.2103043328161 NA
2014-04-25 0.115814393939394 4.023 23.0095714285714 13.9521142857143 47.889 NA NA 8.50433333333333 NA NA 17.815 NA 14.066 NA 0.25 1 7.25 34.1555405629648 NA
2014-04-26 0.11026936026936 14.9464 45.7270434782609 6.12909090909091 67.7516666666667 NA NA 12.925 8.226 NA NA NA 25.462 NA 0 1 8 59.9115000009537 NA
2014-04-27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA -1 0.25 6.25 NA NA
2014-04-28 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.6 6.6 NA NA
2014-04-29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.5 0.5 6.75 NA NA
2014-04-30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.5 0.75 7 NA NA
2014-05-01 NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.25 0.75 7.5 NA NA
2014-05-02 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0.8 7.6 NA NA
2014-05-03 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.25 0.75 7.75 NA NA
2014-05-04 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.2 0.4 6.6 NA NA
2014-05-05 NA NA NA NA NA NA NA NA NA NA NA NA NA NA -1 0.5 6 NA NA
