"AS14.02.time" "AS14.02.activity" "AS14.02.appCat.builtin" "AS14.02.appCat.communication" "AS14.02.appCat.entertainment" "AS14.02.appCat.other" "AS14.02.appCat.social" "AS14.02.appCat.travel" "AS14.02.appCat.utilities" "AS14.02.call" "AS14.02.circumplex.arousal" "AS14.02.circumplex.valence" "AS14.02.mood" "AS14.02.screen" "AS14.02.sms"
2014-03-16 NA 24.6166262626263 47.042223880597 88.392 21.4792631578947 10.6818235294118 NA NA 1 0 0 6.33333333333333 39.221015996933 1
2014-03-17 0.168068414950326 9.31323484848485 47.5591157894737 502.2356 12.962375 10.3028 NA NA 1 0.5 0.5 6.75 76.3892406108684 NA
2014-03-18 0.219484384255438 18.2134335664336 33.0511008403361 29.6476666666667 17.7444 11.1770526315789 NA NA 1 0.6 0.8 8.2 27.5150670816259 1
2014-03-19 0.315631756850643 11.4305735294118 32.8732784810127 16.3449166666667 17.5893333333333 9.563 17.72390625 NA 1 0.4 0.4 6.8 49.5924666679267 1
2014-03-20 0.239024960210347 12.0133581081081 31.6819264705882 14.818 10.857125 14.622 NA NA 1 -0.5 0.75 7.25 34.3333385929348 1
2014-03-21 0.289627924900107 12.4597932960894 44.66321875 153.201333333333 9.486 16.1675416666667 24.572 NA 1 -0.75 0.75 7.5 75.3773716156547 1
2014-03-22 0.446043686832901 9.01993457943925 21.7912470588235 36.8283888888889 10.801 10.7543947368421 20.0158205128205 NA 1 -1 -0.5 6.5 35.1368611245244 1
2014-03-23 0.269697157033532 7.64535042735043 36.79798 22.8292941176471 15.46625 19.1104444444444 23.8337547169811 NA 1 -1 0 6.25 32.1172127706785 1
2014-03-24 0.1561246625015 12.0617528089888 48.583564516129 48.3648181818182 16.3616 17.9077692307692 NA NA 1 0.2 -0.2 6.4 22.4930812963625 NA
2014-03-25 0.230513654856454 17.1154329268293 38.2020684931507 91.9178 10.075 11.419 NA NA 1 -1.25 0.75 7.75 27.7687904192302 NA
2014-03-26 0.293953462405842 13.4631317829457 36.1978428571429 30.6858 8.39 42.2168378378378 NA NA 1 -1.2 0.4 7.2 38.4153797520867 NA
2014-03-27 0.228849008922151 18.7365619834711 32.9345384615385 40.8984166666667 60.98775 10.17075 NA 4.47753333333333 1 0 0.5 7.25 33.0286264296236 NA
2014-03-28 0.26159832807814 9.75106481481481 18.8655606060606 33.6971428571429 12.5669 66.2735365853658 NA NA 1 -0.6 0.6 6.8 26.4638733275731 1
2014-03-29 0.432469355060395 108.85175 52.2314390243902 265.817 13.21025 40.2964615384615 15.676375 NA 1 -0.75 0.25 7.25 31.0087535045516 NA
2014-03-30 0.241887308793968 8.04986458333333 32.6722352941176 53.27475 7.54853333333333 21.5267333333333 NA NA 1 -1 0.75 7 34.8410796359577 1
2014-03-31 0.156372923664277 8.35421830985915 28.5209425287356 29.5804166666667 13.6235 127.4144375 NA NA 1 -0.8 0.4 7.2 29.1106463365439 1
2014-04-01 0.261960532189054 22.6830406504065 21.682131147541 15.3952 20.7125555555556 11.2424117647059 57.5333333333333 NA 1 -0.2 0.8 7.4 20.2315214543255 1
2014-04-02 0.319120561799634 13.9305673758865 31.9828586956522 72.961 18.392 12.2269615384615 NA NA 1 -0.6 -0.2 6.4 38.0321989046276 NA
