"AS14.05.time" "AS14.05.activity" "AS14.05.appCat.builtin" "AS14.05.appCat.communication" "AS14.05.appCat.entertainment" "AS14.05.appCat.office" "AS14.05.appCat.other" "AS14.05.appCat.social" "AS14.05.appCat.travel" "AS14.05.appCat.unknown" "AS14.05.appCat.utilities" "AS14.05.call" "AS14.05.circumplex.arousal" "AS14.05.circumplex.valence" "AS14.05.mood" "AS14.05.screen" "AS14.05.sms"
2014-03-14 NA 15.1218235294118 49.5730568181818 4.14475384615385 NA 44.801875 58.581125 NA NA 9.55233333333333 1 -1 2 8 63.8921590799635 NA
2014-03-15 NA 34.687347826087 70.7220888888889 21.8172978723404 NA 17.4931 683.573 NA 18.6877 10.32925 1 0 0.4 6.2 82.4424259265264 NA
2014-03-16 NA 19.48865 60.724115942029 10.9905633802817 NA 22.17125 NA NA 27.672 14.1865 1 -0.666666666666667 0 6.33333333333333 66.8439638413578 NA
2014-03-17 0.083370520962047 44.1893157894737 31.1233157894737 10.6335625 NA 7.4136 NA NA 3.534 6.44266666666667 NA -0.4 0.4 6 61.0198261012202 1
2014-03-18 0.113195906157921 12.8113333333333 73.52535 13.1213043478261 NA 11.2223333333333 NA NA 7.07225 7.2395 1 0.25 1 7.5 95.693680009842 NA
2014-03-19 0.133691264926536 16.8433571428571 55.3941153846154 12.2759166666667 NA 15.299625 NA NA 7.79766666666667 7.545 NA 1 0.75 6.75 72.569166680177 NA
2014-03-20 0.118456799386123 12.2208 73.555131147541 11.6458636363636 NA 12.092 NA NA NA NA NA 1 0.8 7.2 73.679787866997 1
2014-03-21 0.0501977228988561 17.1214782608696 31.491375 4.81784615384615 NA 10.7696 NA NA NA NA 1 0 1 7.25 34.4581704491919 1
2014-03-22 0.0185609923352062 6.5205 37.8816896551724 16.048025 NA 10.7319090909091 NA NA NA 7.036 NA -2 -1 3.75 36.8608163181616 NA
2014-03-23 0.0852428972480861 33.683 56.4793725490196 16.2899782608696 NA 11.409625 NA NA NA NA 1 -1.4 -1 4.4 84.932255323897 1
2014-03-24 0.00653587207270855 159.697857142857 96.1229210526316 34.64125 NA 24.814 NA NA 49.969 153.627 NA -2 -1 3.75 160.267115418728 1
2014-03-25 0.0409668880042286 28.8965 76.0449871794872 35.3678552631579 NA 28.1896666666667 NA NA 26.1996666666667 70.7197142857143 NA -1 0.333333333333333 5.33333333333333 100.24361053768 1
2014-03-26 0.0392365091937256 29.486 100.678666666667 14.31056 NA 11.712875 NA NA 15.535875 NA NA -0.5 0.25 5.5 110.688688306065 1
2014-03-27 0.0771758602536093 26.9938260869565 88.3146767676768 15.16272 NA 17.8926666666667 NA NA 22.9405 13.1425 1 -0.6 0.2 5.8 117.328395850956 1
2014-03-28 0.0453245831682896 22.0592857142857 51.6119863013699 77.9134528301887 NA 13.96525 115.002333333333 NA NA 17.071 1 0 0.6 6.2 73.9427692339971 NA
2014-03-29 0.10442318185053 18.9404 24.3812307692308 6.27712727272727 NA 11.423875 NA NA 16.2665 23.57 1 -0.4 1 6.4 29.8418928611846 1
2014-03-30 0.0749195096161263 11.4254117647059 40.9572278481013 5.81358064516129 NA 25.2834 NA NA 7.64033333333333 31.965 1 -0.8 0.8 6.2 54.3721710443497 NA
2014-03-31 0.0553413217689974 10.0342727272727 19.3918 30.2312857142857 NA 10.17 NA NA 25.571 66.526 1 -0.4 1 6.8 20.2895396701873 NA
2014-04-01 0.07812598561495 11.2098780487805 60.8499347826087 15.0663442622951 NA 11.4465 50.9295714285714 NA 8.748 9.5655 NA NA NA 7 53.3594827514956 NA
2014-04-02 0.0731261412742347 17.6604545454545 32.3627407407407 12.0649259259259 NA 10.2471818181818 51.4665 NA 29.2706666666667 5.053 NA -0.2 1 7 42.5638354307489 NA
2014-04-03 0.0527514853351881 64.3240909090909 44.5128970588235 7.87225 NA 9.621 107.460333333333 NA NA NA NA -1 0.8 7.2 68.5440447615153 NA
2014-04-04 0.0414565235748597 49.43153125 55.3178983050847 4.95874545454545 NA 35.108 59.39775 NA 17.18 11.2555 1 -0.8 1 7 82.3440991049415 NA
2014-04-05 0.069288464144074 14.6917894736842 20.0412575757576 3.19957352941176 NA 26.9688235294118 NA NA 23.5052 NA 1 0 1 7.5 27.6561444547441 NA
